Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
Alonzo Gee,NOP,29,6.5,225,Alabama,USA,2020,3,70,73,4.5,3.4,1,-4,3.9,12.6,9.2,57.2,6.3
Amar'e Stoudemire,MIA,33,6.8333,245,None,USA,2002,1,9,52,5.8,4.3,0.5,1.8,10.1,22.9,18,59.9,5.4
Amir Johnson,BOS,29,6.75,240,None,USA,2005,2,56,79,7.3,6.4,1.7,4.6,10.4,19.4,13.7,60.2,11
Anderson Varejao,GSW,33,6.9166,273,None,Brazil,2004,2,30,53,2.6,2.7,0.7,-0.5,7.9,23,14.7,47.3,10.2
Andre Drummond,DET,22,6.9166,279,Connecticut,USA,2012,1,9,81,16.2,14.8,0.8,2,15.3,34.3,24,49.9,4.2
Andre Iguodala,GSW,32,6.5,215,Arizona,USA,2004,1,9,65,7,4,3.4,14.4,3.4,12.7,12,56.5,16.5
Andre Miller,SAS,40,6.25,200,Utah,USA,1999,1,8,39,3.7,1.3,2.2,5.1,3.6,10.1,16.2,60,27.6
Andre Roberson,OKC,24,6.5833,210,Colorado,USA,2013,1,26,70,4.8,3.6,0.7,9.4,6,11.3,9.3,56.6,3.9
Andrea Bargnani,BKN,30,7,245,None,Italy,2006,1,1,46,6.6,2.1,0.4,-15.7,4.7,13.5,23.4,50,5.1
Andrew Bogut,GSW,31,7,260,Utah,Australia,2005,1,1,70,5.4,7,2.3,14.2,9.4,25.2,11.6,62.3,14.5
Andrew Goudelock,HOU,27,6.25,200,College of Charleston,USA,2011,2,46,8,2.8,0.3,0.5,13.6,2.4,1.5,24.3,50.6,11.8
Andrew Nicholson,ORL,26,6.75,250,St. Bonaventure,Canada,2012,1,19,56,6.9,3.6,0.4,1.2,4.5,21.6,20.9,56.7,5
Andrew Wiggins,MIN,21,6.6666,199,Kansas,Canada,2014,1,1,81,20.7,3.6,2,-1,4.3,7.4,26.9,54.3,9.8
Anthony Bennett,TOR,23,6.6666,245,Nevada-Las Vegas,Canada,2013,1,1,19,1.5,1.2,0,-12.5,6.4,29.3,18.1,44.6,0
Anthony Brown,LAL,23,6.5833,210,Stanford,USA,2015,2,34,29,4,2.4,0.7,-4.3,1.5,11.6,11,42.7,4.8
Anthony Davis,NOP,23,6.8333,253,Kentucky,USA,2012,1,1,61,24.3,10.3,1.9,-4.7,6.4,26.2,29.6,55.9,10
Anthony Morrow,OKC,30,6.4166,210,Georgia Tech,USA,2020,3,70,68,5.6,0.9,0.4,4,1.3,6,17.1,54.3,3.7
