,X,Y
154,-27.8582311806,-72.2599358055
155,-69.8482385113,-80.172856646
156,-60.8380032536,-45.2243811617
157,-69.8764058041,-72.2474115252
158,-11.8492942586,-80.3361690807
159,-54.8385268005,-82.2004732379
160,-32.8165005095,-79.2906846117
161,-31.7977212998,-18.2383945711
162,-57.8290303423,-23.2659533251
163,-71.8453714761,-66.2512614093
164,-56.8139817259,-73.2475381489
165,-32.7965734361,-14.2492350172
166,-32.868888558,-77.2600308401
167,-5.89219247773,-66.2453561397
168,-69.8198589835,-71.1048649389
169,-35.8447739429,-54.2463311732
170,-65.872697142,-77.2529851919
171,-113.886235338,-82.3020876177
172,-112.894933141,-77.2520913642
173,-90.8152468961,-2.18902149758
174,-69.8514658053,-77.2608999201
175,-72.813413029,-35.2245158987
176,-27.8798567375,-75.2950547841
177,-93.8613580822,-73.2034037361
178,0.147917303706,-78.2662215609
179,-66.7889532967,-34.2279002595
180,-27.8280673878,-76.2936154283
181,-55.839992286,-73.2743100609
182,-27.7913056403,-53.3082702089
183,-60.878335175,-79.2726409209
184,-87.861453923,-39.2413427054
185,-77.8492293322,-51.2094399016
186,-50.8338504567,-22.2450134808
187,-2.85291346803,-82.407249562
188,-112.819281925,-57.2066452726
189,-59.8435412567,-48.2203762985
190,-71.8200123602,-41.2176738663
191,-46.8360009503,-29.2188218439
192,-80.8619044114,-44.2009462779
193,-7.85471287666,-81.2750399937
194,-75.8241104051,-81.2426481152
195,-111.830292121,-26.18625236
196,-51.8118210046,-27.2383086896
197,-97.7800008265,-7.20255559553
198,-35.8468327463,-32.3123188984
199,-21.8389666166,-76.2611882939
200,-1.88602961181,-72.2609381865
201,-86.8142299873,-47.206603711
202,-2.7973782195,-17.2552977868
203,-32.8445690814,-80.2767919282
204,-112.885825031,-79.2707218784
205,-44.833151215,-51.228777879
206,-95.8654121393,-77.2235964315
207,-118.849457945,-30.1727167199
208,-22.8820563928,-66.2548155256
209,-37.8744958032,-78.2775597044
210,-74.8792233732,-76.2255502313
211,-1.85923867383,-52.2960123694
