,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
179,6,28,7,270,67,36,13,1,18,34,5.1,3.9,0.1,83,14.8,23.1,21.2,57.4,1.5
180,16,21,6.6666,250,28,36,19,1,2,76,14.1,5.2,1.7,86,5.9,12.7,20.8,53.5,8.6
181,2,25,6.5,235,56,36,17,2,34,73,14.2,5.1,1.8,94,3.1,14.1,18.4,56.5,8.7
182,22,20,6.9166,275,28,36,20,1,3,53,17.5,7,1.2,73,8.4,17.8,27.8,53.6,8.8
183,12,36,6.4166,195,61,36,5,1,8,79,14.2,1.8,2.3,92,1,6.6,24.6,52.9,14.5
184,7,34,6,190,88,36,9,1,20,39,7.7,2.9,4.9,83,1.9,10.9,16.6,46.4,28.7
185,25,27,6.5,213,78,36,15,1,20,51,3.5,1.7,0.8,86,1.9,10.4,13.7,46.9,7.8
186,18,25,6.5833,210,51,36,18,2,50,22,7.2,1.9,1,83,7.4,7.8,20,62.1,10.4
187,10,26,6.4166,220,3,36,14,1,3,82,29,6.1,7.5,91,2.2,15.7,32.5,59.8,35.4
188,27,29,6.75,250,113,36,14,1,16,57,5,2.2,1.2,89,3.5,12.1,16,53.2,11.3
189,5,35,6.6666,218,60,36,8,2,49,48,3.7,1,0.3,85,1.8,9.9,16.3,58,5.4
190,9,23,6.75,240,72,36,25,3,70,41,2.9,1.4,0.4,74,12,13.1,20.1,55.4,11
191,2,20,6.5,215,47,36,19,1,17,29,1,0.9,0.3,83,2.1,12.9,9.5,38.4,6.3
192,5,25,6.3333,195,81,36,17,1,24,44,2.7,0.9,0.5,86,0.9,10.2,16.9,46.4,7.4
193,29,30,6.5833,225,8,36,12,1,22,81,7.9,3.5,2.1,91,2.9,12.8,12.9,60.2,11.2
194,2,24,6.75,260,76,36,17,1,21,81,10.3,8.3,2.3,94,10.6,27.1,21.8,47.6,14.8
195,29,24,6.5833,218,112,36,25,3,70,26,2.4,0.9,0.2,79,1.3,15,20.1,46,5.8
196,14,22,6.8333,239,52,36,20,1,25,27,5.7,3.2,0.6,84,10,15,18.2,53.4,6.5
197,14,22,6.75,263,98,36,19,2,35,7,1,0.6,0.1,110,7.1,17.6,14.1,59.5,8.3
198,1,32,6.25,200,36,36,10,1,22,32,12.8,4.3,7.4,84,0.9,13.8,21.3,50.5,34
199,21,30,7,240,22,36,12,1,20,76,7.2,2.9,0.8,88,5.1,16.3,22.4,51.3,8.7
200,10,38,6.1666,185,2,36,4,1,10,72,5.9,1.1,1.4,89,1.2,5.8,15,54,12.5
201,27,29,6.9166,250,87,36,13,1,12,47,3.1,2.9,0.6,91,7.5,23.4,14,55.8,9.4
202,12,29,6.75,250,3,36,14,2,31,17,1.8,1.3,0.3,71,4.2,17,14.2,58.5,7.8
203,12,29,6.75,235,33,36,12,1,5,80,11.7,4.2,1.7,89,3.8,13.2,20.7,51,10.2
204,0,28,6.1666,186,113,36,14,1,19,79,15.7,2.7,5.9,91,1.6,8.3,26.3,55.1,34.1
205,28,26,7,231,45,36,18,2,39,51,4.3,3.4,0.4,94,10.2,20.9,15.3,57.7,5.1
206,22,22,6.6666,210,96,36,19,2,39,77,9.7,4.7,1.8,80,5.1,13.9,18.3,50.6,10.6
207,6,28,6.75,200,119,36,15,2,55,30,2.4,1.8,0.1,85,4.7,16.7,11.6,62,1.3
208,3,24,6.4166,185,23,36,17,1,12,66,8.8,3.8,1.2,95,3.9,18,21.9,52.9,11.1
209,3,27,6.25,200,38,36,25,3,70,78,11.7,3.2,3,92,2.2,11.1,22,53.4,19.2
210,19,23,6.3333,195,75,36,20,1,19,76,5.6,1.9,2.3,83,2,10.5,18.9,47.9,23.6
211,16,27,6.25,200,2,36,13,1,11,52,10.4,2.7,3.1,85,1.6,9.2,16.7,56.8,16.8
212,26,27,6.1666,195,10,36,16,1,10,6,1.5,0,0.2,18,0,0,24.2,62.5,50
213,4,26,6.5833,220,56,36,16,1,30,67,20.9,5.3,4.8,89,3.5,11.6,24.5,56.2,21.8
214,4,31,6.9166,232,30,36,12,1,9,29,4.3,8.8,3.8,89,14,26.6,13.9,40.6,25.6
215,8,28,6.3333,210,47,36,14,2,41,3,7.3,1.7,1,102,2.6,10.3,24.3,50.6,14.3
216,5,24,6.5,219,110,36,19,2,33,5,0.6,0.6,0.4,34,0,37.5,14.2,37.5,18.2
217,28,28,6.6666,226,70,1,25,3,70,81,4.2,1.9,1.2,87,1.7,12.4,13.3,57.2,12.5
218,15,35,6.5833,240,4,36,6,1,10,81,12.2,3.6,3.9,88,2.1,10.1,18,53.8,17.2
219,11,24,6.1666,180,80,36,20,2,43,41,3.8,1.2,1.6,84,1.7,12.3,24,42.8,26.1
220,8,33,6.75,245,68,5,25,3,70,19,0.9,1.1,0.1,83,9.3,15.1,7.4,66.6,2
221,7,24,6.9166,220,70,11,18,2,55,59,7.9,4.9,0.9,80,8.3,23.2,19.9,56.7,9.3
222,16,25,6.9166,229,72,36,17,1,14,57,7,3.9,0.9,85,10.5,15.2,19.2,58,9.6
223,23,25,6.3333,215,108,36,17,1,23,43,4.1,1.3,0.8,83,1.7,10.2,17.4,52.2,11.1
224,29,25,6.3333,195,47,36,15,1,1,77,19.9,4.9,10.2,90,1.7,13.8,28.4,51,44.9
225,16,23,6.75,257,52,36,19,2,36,66,3,2.7,0.5,84,9,15,13.8,44.1,5.7
226,23,27,6.8333,228,122,36,16,2,40,67,8.5,5.6,1.1,87,6.5,25.9,19.9,55.5,9
227,2,29,6.8333,231,70,31,14,2,39,78,4.4,3.7,0.8,92,7,19.9,13.6,53.1,7.8
228,27,24,7,255,70,19,16,1,5,60,12.8,9.1,0.7,93,14.2,27.3,20.7,61,4.5
229,26,26,6.5,195,39,36,25,3,70,55,6,1.7,1.1,97,2.5,10.9,19,58.6,10.8
230,14,21,6.4166,209,103,36,19,1,22,2,3.5,1,1.5,95,0,18.2,28.6,42.7,27.3
231,13,24,6.4166,194,64,36,19,2,46,79,15.5,4,2.4,76,3.7,9.6,22.8,51.6,13.9
232,14,29,6.1666,180,103,36,11,1,26,12,9.2,2.1,3.1,76,1.4,9.7,18.2,52.7,19.8
233,18,25,6.5833,220,100,36,16,1,26,11,11.4,5.6,2.3,78,4.3,19.4,20.8,49.9,12.8
234,11,28,6.8333,235,2,36,14,1,8,73,8.8,6.2,1.2,91,11.2,20.9,20.4,53.4,9.6
235,5,25,6.4166,179,98,36,19,2,58,22,4.5,0.9,1.1,100,2.4,8.2,25.3,54.8,21.6
236,2,21,6.6666,235,52,36,20,2,33,16,1.3,0.8,0.1,99,10.2,14.3,20.8,39.8,3
237,3,27,6.25,189,14,20,25,3,70,12,1.8,0.6,1.4,101,0,10.3,15.5,69.4,39.5
238,19,34,6.25,200,70,30,25,3,70,72,7.6,3.2,4.1,88,1.2,10.9,12.6,57.1,21.3
239,6,32,6,185,74,25,25,3,70,74,10.9,2.1,4.1,88,1.7,8.5,23.5,53.6,30.1
240,20,24,6.5833,230,95,36,19,1,29,5,2.8,2,0,86,4.5,15.7,13.2,50.9,0
241,15,29,6.8333,240,28,36,12,2,37,42,3.6,2.5,1.9,92,4.4,15.7,15.4,45.3,20.4
242,15,22,6.5,200,98,36,20,2,40,52,6.6,2.1,1.4,93,2.3,8.5,13.7,56.9,9.8
243,10,30,6.75,225,70,36,9,1,17,55,6,3.5,1.6,85,5.9,17.7,22.6,43.9,17.2
244,18,26,6.3333,205,103,36,14,1,17,65,16.8,3,6,89,1.6,10.6,28.7,52.9,36.5
245,13,21,6.75,250,47,36,19,1,7,81,11.3,10.2,1.8,74,7.7,32.7,21.2,48.2,11.1
246,6,22,6.5,228,110,36,20,1,21,55,3.8,2.4,0.5,92,2.9,18.8,15.5,52.2,7.1
247,1,26,6.8333,225,86,36,16,2,32,5,2.6,0.2,0,38,0,3.8,17.7,59.7,0
248,4,27,6.5,185,114,36,25,3,70,53,4.5,1.7,1.1,86,1.7,11.1,16.4,48.9,11.1
249,15,20,6.5833,225,28,36,20,1,10,78,6.4,5.2,1.5,93,4.2,15.8,12.4,48.9,7.7
250,7,21,7,280,70,2,19,1,16,32,8.2,5.5,1.3,88,12.8,22.7,27.2,46,12.3
251,10,23,6.5,205,18,36,19,2,32,37,2.4,1.1,0.3,108,7.8,10.4,18.8,52.2,5.9
252,17,20,7,244,47,36,20,1,1,82,18.3,10.5,2,87,10.2,27.1,24.7,59,10.8
253,26,25,6.5833,230,91,36,16,1,15,72,21.2,6.8,2.6,104,4.6,18.2,25.8,61.6,12.8
254,21,24,6.0833,185,62,36,25,3,70,5,1.2,0.2,0.2,110,0,4.2,20.1,33.8,5.9
255,2,25,7,238,37,5,18,1,13,69,10,4.1,1.5,95,5.4,15.8,20.7,56.1,11.9
256,29,20,6.5833,205,45,36,20,1,15,63,3.7,2.1,0.2,88,3.9,17.7,17.3,50.7,2.9
257,3,26,6.0833,184,23,36,16,1,9,81,20.9,4.4,5.2,94,2.1,11.6,26.5,55.4,25.3
258,22,24,6.3333,200,72,36,17,1,13,30,3.7,0.9,2.4,75,0.5,7.6,18.1,44.9,26.6
259,18,31,6.8333,270,70,36,8,1,27,37,2.5,3.5,0.8,84,5.3,22.5,10.6,52.9,7.7
260,7,26,6.6666,228,65,36,16,1,22,67,12.5,8.7,1.2,85,15,23.2,20.7,57.7,7.7
261,0,26,6.4166,201,79,36,25,3,70,75,11.6,5.1,2.3,93,1.5,17.6,19.9,55.1,12.7
262,8,23,6.4166,205,34,36,18,1,8,76,14.5,3.7,1.8,92,2.6,8.5,18,52.1,7.5
263,20,27,6.75,240,100,36,12,1,2,72,28.2,8.2,5,101,2.1,20.9,30.5,63.4,23
264,17,40,6.9166,240,70,36,0,1,5,38,3.2,3.9,1.6,96,3.1,26.2,11.7,49.1,16.4
265,5,27,6.8333,251,103,36,13,1,5,77,16,9.9,2.4,98,7.1,28.7,23.5,55.3,11.9
